word,value
fiyat performans ürünü,0.9623410701751709
ürün çok güzel,0.9934743046760559
ürün gayet güzel,0.9939388036727905
şekilde elime ulaştı,0.9873387813568115
kesinlikle tavsiye etmiyorum,-0.9984534978866577
günde elime ulaştı,0.9946540594100952
çok memnun kaldım,0.9950634837150574
ürün çok iyi,0.9941523671150208
çok teşekkür ederim,0.9929674863815308
gerçekten çok güzel,0.9947450160980225
hayal kırıklığı oldu,-0.7365821599960327
ürün gayet iyi,0.9947848916053772
ürün orijinal değil,-0.9984785914421082
tam fiyat performans,0.9891676902770996
ürün orjinal değil,-0.9984684586524963
paketleme çok kötüydü,-0.9983658194541931
çok güzel çok,0.9931476712226868
kesinlikle tavsiye ederim,0.9945650100708008
tam hayal kırıklığı,-0.9977438449859619
selpak ,-0.4451052248477936
dışında sorun yok,0.9933145642280579
vermeye gerek yok,0.9949449896812439
yorumlara bakarak aldım,-0.6662883162498474
hızlı şarj etmiyor,-0.9983159303665161
süper hızlı şarj,0.9950207471847534
i̇ade talebi oluşturdum,-0.8681866526603699
değişim talep ettim,0.6932401061058044
çok güzel ürün,0.992547333240509
yapış yapış his,-0.9982990622520447
5 yıldız verdim,0.9897437691688538
malzeme kalitesi çok,0.9847071766853333
kalitesi çok kötü,-0.9978629946708679
duracell ,0.6594479084014893
dün sipariş verdim,0.9102315306663513
çok iyi değil,-0.9976230263710022
almanızı tavsiye ederim,0.9947724938392639
iade etmek zorunda,-0.9826202988624573
uzun zamandır kullanıyorum,0.9942865967750549
ürün gerçekten çok,0.9919740557670593
ürün elime ulaştı,0.9899870753288269
5 yıldız veriyorum,0.9820053577423096
fiyatına göre iyi,0.9863653182983398
son kullanma tarihi,0.7212164402008057
açık şekilde geldi,0.0
2 günde geldi,0.9918339252471924
sipariş verdim bugün,0.9677509069442749
gün elime ulaştı,0.99363774061203
hayal kırıklığına uğradım,-0.9945927262306213
aldığıma pişman oldum,-0.9836030006408691
kesinlikle tavsiye ediyorum,0.9951527118682861
ses kalitesi iyi,0.9801301956176758
