text	sentiment_category
contigo der susarım 2 yıldır oğlum kreşe gidiyor türlü suluğu kullandım contigodan sağlam suluk görmedim büyüyünceye büyükler olan contigo alırım başka suluk alıp paranızı çöpe atmayın	0
3 yaşındaki oğluma ay almıştık başka suluğu kullanmıyor üründen memnun kalınca ikinciyi almak sipariş verdik ürün elimize ulaştı aldığımız ürünü kullanmadık görsel olarak kalite olarak çok iyi görünüyor bayağı kalın havalı naylona sarmışlar ürün elimize sağlam ulaştı	1
gözüm kapalı aldığım marka ikinci kullanımımız sıfır koku kesınlıkle çok çok tavsiye	0
markanın pipetli modelini pipetsiz modelini severek kullanıyoruz damlatma yapmıyor sağlam koku sorunu yok	1
çok beğendik ağızlığı silikon uzun süre kullanılabilir su akıtmıyor teşekkürler	1
harika bu ürün oğlumda bayıldı damlatma koku kesinlikle yapmıyor	1
ürün güzel küçük çocuklar çok iyi çekemez pipeti biraz genişçe su akıtmıyor yaşça bence 4 yaş üzeri çocuklar rahat eder	1
çok kaliteli ürün almıştım kaybettik aynısını aldım çok hızlı geldi okula yetişti	1
su kaciriyor maalesef koku yapmıyor	0
contigo der susarım 2 yıldır oğlum kreşe gidiyor türlü suluğu kullandım contigodan sağlam suluk görmedim büyüyünceye büyükler olan contigo alırım başka suluk alıp paranızı çöpe atmayın	0
3 yaşındaki oğluma ay almıştık başka suluğu kullanmıyor üründen memnun kalınca ikinciyi almak sipariş verdik ürün elimize ulaştı aldığımız ürünü kullanmadık görsel olarak kalite olarak çok iyi görünüyor bayağı kalın havalı naylona sarmışlar ürün elimize sağlam ulaştı	1
çok beğendik ağızlığı silikon uzun süre kullanılabilir su akıtmıyor teşekkürler	1
markanın pipetli modelini pipetsiz modelini severek kullanıyoruz damlatma yapmıyor sağlam koku sorunu yok	1
gözüm kapalı aldığım marka ikinci kullanımımız sıfır koku kesınlıkle çok çok tavsiye	0
harika bu ürün oğlumda bayıldı damlatma koku kesinlikle yapmıyor	1
ürün güzel küçük çocuklar çok iyi çekemez pipeti biraz genişçe su akıtmıyor yaşça bence 4 yaş üzeri çocuklar rahat eder	1
harika suluk akıtma yapmıyor makinada rahatça yıkanıyor oğlum keyifle severek kullanıyor	1
contigo der susarım 2 yıldır oğlum kreşe gidiyor türlü suluğu kullandım contigodan sağlam suluk görmedim büyüyünceye büyükler olan contigo alırım başka suluk alıp paranızı çöpe atmayın	0
3 yaşındaki oğluma ay almıştık başka suluğu kullanmıyor üründen memnun kalınca ikinciyi almak sipariş verdik ürün elimize ulaştı aldığımız ürünü kullanmadık görsel olarak kalite olarak çok iyi görünüyor bayağı kalın havalı naylona sarmışlar ürün elimize sağlam ulaştı	1
çok beğendik ağızlığı silikon uzun süre kullanılabilir su akıtmıyor teşekkürler	1
markanın pipetli modelini pipetsiz modelini severek kullanıyoruz damlatma yapmıyor sağlam koku sorunu yok	1
gözüm kapalı aldığım marka ikinci kullanımımız sıfır koku kesınlıkle çok çok tavsiye	0
harika bu ürün oğlumda bayıldı damlatma koku kesinlikle yapmıyor	1
ürün güzel küçük çocuklar çok iyi çekemez pipeti biraz genişçe su akıtmıyor yaşça bence 4 yaş üzeri çocuklar rahat eder	1
harika suluk akıtma yapmıyor makinada rahatça yıkanıyor oğlum keyifle severek kullanıyor	1
harika suluk akıtma yapmıyor makinada rahatça yıkanıyor oğlum keyifle severek kullanıyor	1
çok kaliteli urun 2. alis'im	1
çok kaliteli	1
oğlum sürekli kullandığımız suluk modeli	1
kaliteli ürün gerçekten oğlum yere atıyor hiçbir olmadı uygun farklı marka almıştım çabuk kırıldı	1
çok beğendik su akıtmıyor çok kullanisli	1
çok memnunum su akıtıyor kaliteli ürün	1
