text	sentiment_category
yeni aldım gayet sağlam gözüküyor bence kullanırken dikkat ediniz nazik davranın kırılır	1
oldukça hızlı geldi normalde fazla ısınmıyor test yaparken ısındı 3.1 destekliyor yaptığım test sonuçları fotoğraftaki	1
standart ürün önceden kullandığım ürün hepinize kolay gelsin	1
i̇ki tane aldım ikisi calisiyor paketleme güzeldi ertesi gün elime ulasti tesekkur ederim	0
gayet iyi tavsiye ederim	1
şahane kurtarıcı ürün eğer çoklu port’a ihtiyacınız sadece osb kullanıyorsanız aradığınız ürün küçük fazla yer kaplamıyor kablo fazlalığından kurtulmuş oluyoruz plastik üzerine metal kalıbı çok sağlam olduğunu düşünmüyorum fiyata tam performans ürünü i̇ş görür kurtarıcı	1
ürün sorunsuz jet hızıyla 24 saat dolmadan elime ulaştı jet farkıyla ürün çalışır vaziyette tereddüt etmeden alabilirsiniz	0
çok kaliteli sorunsuz çalışıyor alın aldırın çok teşekkürler Hepsiburada satıcı güvenilir hızlı teslimat	1
i̇şe yarar kullanışlı	1
ürün çok basit gayet başarılı 70gb dosya aktarımı 17dk verdi	1
malzeme kalitesi uyumu çok iyi tavsiye ederim	1
i̇şinizi görüyor çok kullanan değilim	1
teşekkür hızlı sorunsuz gönderim	1
ürün anlatıldığı sorun yok gayet güzel kaliteli	1
güzel kaliteli ürün	1
çalışıyor yüzden sıkıntı yok	0
çalışıyor yüzden sıkıntı yok	0
ürün anlatıldığı sorun yok gayet güzel kaliteli	1
fiyatına göre gayet güzel iş gören sağlam bu alet	1
kaliteli ürün hızlı kargo	1
vive samsung çalışıyor	0
çok memnunum düzenli kullanıyorum	1
i̇şe yarıyor uygun fiyatlı güzel	1
kaliteli ürün hızlı kargo	1
direkt çalıştı sorun yok fiyata hayat kurtarıcı ürün çoklayıcı çıkar tak vs vs uğraşılmaz	1
fiyatına göre gayet güzel iş gören sağlam bu alet	1
malzeme kalitesi uyumu çok iyi tavsiye ederim	1
güzel kaliteli ürün	1
çalışıyor yüzden sıkıntı yok	0
veri aktarım hızı hakkında bilgi sahibi değilim ölçüm yapmadım ürün fazlasıyla yeterli amacına hizmet ediyor yüksek gb dosya aktarımı kullanmak isteyenleri yanıltmak istemem usb gezinti foto vs aktarmada yeterli	1
Hepsiburada dan aldım çok uygun fiyata alayım dedim Hepsiburada bitmiş başka satıcı 2 katına satıyor ayıptır cihaz güzel kaliteli kullanışlı sağlam işimi görüyor teşekkürler Hepsiburada	1
mate10 pro kullanmıyorum sorunsuz çalıştı kesinlikle tavsiye ederim çift taraflı flash belleklerin fiyatları çok yüksek alıp normal flash belleklerinizde kullanabilirsiniz	1
hızlı gönderim Hepsiburada teşekkür ederim dışı metal sağlam ürün type-c telefona taktım mouse klavye ki telefonda kullanmaya ayrıca telefonun bataryasından usb cihaz çalıştırmaya aracı oluyor faydalı fiyat performans ürünü	1
gayet güzel çalışıyor tablete harici disk takmak kullanıyorum hızı çok iyi	1
çok iyi aktarım hızları olması gereken hızda ürünü kaybettim güvenli bu yerde saklayın çok kolay kayboluyor	1
samsung tab ak tabletime usb dong'la bulunan mouse bağlamak almıştım sorunsuz çalıştı tabletimde şekilde mouse bağlantısı yapmak çok kolay oldu başka cihazlarda denemedim amaçla alacaklara fikir versin yorum yazıyorum çok memnunum	1
ürün elime ulaştı gün tam resimlerde görüldüğü an kullanıyorum alacak arkadaşlara tavsiye ediyorum	0
hızlı gönderim Hepsiburada teşekkür ederim dışı metal sağlam ürün type-c telefona taktım mouse klavye ki telefonda kullanmaya ayrıca telefonun bataryasından usb cihaz çalıştırmaya aracı oluyor faydalı fiyat performans ürünü	1
samsung tab ak tabletime usb dong'la bulunan mouse bağlamak almıştım sorunsuz çalıştı tabletimde şekilde mouse bağlantısı yapmak çok kolay oldu başka cihazlarda denemedim amaçla alacaklara fikir versin yorum yazıyorum çok memnunum	1
ürün sağlam teslim aldım gayet başarılı	1
gayet güzel çalışıyor sorun yok	0
minicik uyku iş gördü	0
ürün güzel samsun m21 telefonum oto ye taktıyım flash belleği okumayı reddetti	0
ürün sağlam duruyor tavsiye edilir	1
hemen kargolandı çalışıyor	0
ürün sağlam duruyor tavsiye edilir	1
çok memnunum	1
ürün sağlam teslim aldım gayet başarılı	1
hemen kargolandı çalışıyor	0
gayet güzel çalışıyor sorun yok	0
3 kuruşa 5 köfte gayet güzel mis ye zamanda bu bardak çay vermiyorlar gayet güzel alın	1
güzel kaliteli	1
macbook'tu osb girişi yok fare takamıyoruz aldık fiyatına göre çok iyi	0
ürün tam istediğim hiçbir sorun yaşamadım kargoda 1 gün geldi teswkkurler	0
i̇lk defa hızlı kargo aldım teşekkür ediyorum emeği geçenlere i̇şime çok yarışacak usb flash dönüştürücü bilgisayarımda tıp çıkışı kullanıyorum pc deki 2 osb girişine 1 tane ilave oldu	1
kullanışlı yandaki tepe portunu kapatmıyor	0
fiyatına göre çok iyi memnun kaldım telefonuma arada flash bellek yada mouse klavye kulaklık takıyorum gecikmesinde yok sağol Hepsiburada	1
çok hızlı geldi basit canla projelerini flash belleğe atmak aldım denedim sorunsuz çalışıyor	0
gayet şok aktarım hizada güzel güzel kargolanma gizli teslim aldım tesekkurler gonun rahatligiyla alınabilecek urun	1
güzel ürün metal küçük olması dayanıklılığını düşürür düşünüyorum usta boyutu belli sonuçta al dursun kullanışlı yeni çok cihazda usta olmayacak elinizdeki kabloları kullanmanıza olanak sağlar	1
phone dan android telefona veri aktarımı yaptım gayet hızlı şekilde işini yaptı tavsiye ederim	1
phone dan android telefona veri aktarımı yaptım gayet hızlı şekilde işini yaptı tavsiye ederim	1
usb coklayici almak sekilde işimi gördü	1
ürün gayet güzel iş görüyor sadece samsun şarj aleti uçlarıyla aynı girişe sahip cihazlarda kullanılabilir iphone yeni nesil şarj girişli cihazlarda kullanılmaz maalesef benzediği şarj başlığını görsel olarak ekledim	1
kaliteli şık ürün alüminyum kasa tavsiye ediyorum	1
üründen memnunum güzel paketlenmiş temiz şekilde mis elime ulaştırıldı almak isteyenler tereddüt düşmesin sepete ekleyip alsınlar	1
flash bellek sipariş edecektim bari dönüştürücü ekleyeyim telefonda kullanayım dedim iyi yapmışım metal sağlam ürün geldi huawei mate 10 pro cihazında kullandım sorun yok tavsiye ederim	1
64 gb osb bellekle samsun serisinde sorunsuz kullanıyorum tavsiye ederim	0
çok özenli kargolanmış teşekkürler	1
gayet güzel çalışıyor	1
hızlı kargo mükemmel alışveriş	1
ürün bence fiyatına göre harika cihaz sorunsuz şekilde çalışıyor cihazda kullanılan madde metal materyal metalimsi madde premium cihaz kullanıyormuş hissi veriyor sağlam hissettirdiğini söyleyebilirim almanızı tavsiye ederim	1
malzeme kalitesi aktarım hızı fiyatına göre iyi tavsiye ederim	1
gayet iyi kesinlikle öneririm kargoda hızlı gayet	1
tabletim aldım bayağı kullanışlı klavye mouse takabiliyorum	1
sony7iii i̇yad bağlantısı aldım i̇yad pro'da sorunsuz çok hızlı çalışıyor malzeme kalitesi oldukça iyi hızlı kargo ürün kalitesi teşekkür ederim	1
type-c destekleyen aracımda usb kablolu telefon şarj kablosu kullanmak satın aldım herhangi sorun yaşamadım	0
çok güzel ürün tam ürünü gönül rahatlığıyla alın alırken bende bayağı araştırdım ucuza kalite şaşırttı	1
güzel ürün kullanışlı telefondan fed ışıklarım vardı onları çalıştırabiliyorum	1
çok iyi hemen kullanabildim uyumlu anlamayan olarak kullanabilmem memnun etti	1
samsung telefonuma flash bellek bağlamak almıştım hiçbir sorun çıkarmadan işimi gördü	0
pratik ürün istediğim dosyaları anında telefonumdan alabiliyorum aktarabiliyorum	0
ürünü kullandıkça yorum yapacağım abi pazar günü verdiğim sipariş 24 saat geçmeden teslim edildi oluyor	1
şimdilik sıkıntı yok ürün gerçekten premium fiziğe sahip oldukça küçük paketleme gayet iyi idi kargo tam zamanında geldi	1
telefona osb bellekten veri aktarmak aldım gayet hızlı veri aktardı işimi gördü	1
pratik ürün istediğim dosyaları anında telefonumdan alabiliyorum aktarabiliyorum	0
ürünü tabletime klavye bağlamak amaçlı almıştım gayet güzel çalışıyor tavsiye ederim	1
ürünü kullandıkça yorum yapacağım abi pazar günü verdiğim sipariş 24 saat geçmeden teslim edildi oluyor	1
hızlı kargo almamıştım ürün sağlam çalışıyor paketleme iyi puan puan puan	1
kullanışlı ürün	1
fiyat uygun kalite süper	1
güzel ürün tavsiye ederim	1
gayet iyi	1
flash aparatı isteğim oldu flash la beraber telefonuma takıp dosyaları aktarma yapabildim telefonum xiaomi model telefonuma oldu	1
ürün çok iyi flash disk doğrudan telefona bağlanabiliyor kullanışlı tavsiye ederim	1
gayet güzel c otomobile flashbellek takabilmek aldım sorunsuz çalışıyor	0
ürün çok iyi flash disk doğrudan telefona bağlanabiliyor kullanışlı tavsiye ederim	1
usb beleği type-c girişli telefonuma bağlamak adaptöre ihtiyacım vardı bulup hemen aldım i̇stediğim ürün paketlemesi iyi kargo teslimat sorunsuzdu	1
gayet güzel ürün kaliteli görünüyor kullanışlı ürün tabletim aldım sorunsuz çalıştı hızlı kargo teşekkür ederim	1
ürün kullanışlı teşekkürler kargo poşetinin içine poşeti konmuş ekstra koruyucuya sarılmamış	1
öncede aldığım ürün metal olması ısınma hissiyat olarak iyi	1
macbook birde mouse kullanmak için aldım küçük işlevsel gayet iyi fiyat	1
çok kullanışlı f üzeri ürün kesinlikle tavsiye ederim bayagida kaliteli	1
ürün güzel tek sıkıntısı ucu eğilebilir dikkatli edin çarpmayın zorlamayın 2. siparişim	1
i̇şinizi görüyor çok kullanan değilim	1
i̇ş görür macbook kullanıcılarının kullanması gereken aparat pratik	0
klavyeyi telefona bağlamak aldım i̇şimde yarıyor sorun çıkartmadı	0
minimal kullanışlı ürünü	1
süper ürün araçta telefonda pc çok iyi çalışıyor teşekkürler	1
sorunsuz calisiyor	0
i̇şe yarar kullanışlı	1
ürün çok basit gayet başarılı 70gb dosya aktarımı 17dk verdi	1
vive samsung çalışıyor	0
çok memnunum düzenli kullanıyorum	1
