text	sentiment_category
philips'in gc2995 30 modeliyle arasında kalmıştım yeni ürün olması yemde tabanının iyileştirilmiş olması nedeniyle dst5010 10 modelini tercih ettim i̇ndirimdeyken almıştım önceki ütünüz üst segmentte ütü ütü ilk başta hayal kırıklığı yaratabilir fiyatına göre performansı makul diyebilirim hafif ütü eli yormuyor su haznesi yeterli sürekli takviye yapmanız gerekmiyor su akıtma problemi karşılaşmadım eşyaların üzerine yapışma yada yakma parlama problemde olmadı sürekli buhar gücü tık tık ütü yaparken arka arkaya şok buhar vermek zorunda kalıyorsunuz otomatik sürekli şok buhar ayarı gözüküyor türlü yapamadım yada özelliği yok kendim manuel düğmeye basarak şok buhar verdim sayede ütüleme süresi kısalıyor kırışıklıklar hızlı çözülüyor kullanma kılavuzu kağıt parçası koymuşlar sadece görseller açıklama yazmıyor günün sonunda fiyat performans açısından sınıftan geçer not alıyor kullandıkça ütüye alışmaya başlıyorsunuz otomatik şok buhar verme özelliği gözüküyor türlü yapamadım sürekli buhar gücünün olması dışında eksi özelliği yok diyebilirim bekarsanız yada çekirdek aile iseniz ütü yeterli gelecektir kalabalık aile iseniz üst segmentte sürekli buhar gücü yüksek olan otomatik şok buhar veren ütüye bakmanızı tavsiye ederim	1
ütüyü yorumları okuyarak aldım iyilide almışım inatçı kırışıkları güzel şekil düzleştiriyor buhar gücü ütünün uç kısmının üçgen şekilde gelmesi utulenmesi gereken ufak tefek yerleri rahat utulemeyi sağlıyor ütünün ağırlığı çok ağır yazmışlar gayet normal ağırlığı aşırı ağır ütü çokta memnun kaldım iyisi almışım diyorum kesinlikle tavsiye ederim	1
ürünü hediye olarak aldım dedikleri 1 günde elimdeydi 24 saat olmadan teslim edildi şuan herhangi problemi yok normal kutusunun dışında ekstra kutuya konulmuştu korunaklı şekilde paketlenmişti	0
hergün ulu yapmasamda perdeleri güzel utuluyor buhar basin'cik vs için yeterli oldu tekstille gün herşeyi utuleyen kişiler için ideali bilmiyorum 4 kişilik ailenin gunn'luk kıyafetleri için gayet yeterli oldu	1
piyasaya göre fiyatı çok iyi gelir gelmez denedim açması çok ideal uğraştırmıyor kol yormuyor sürekli ütü kullanıyorsanız bilemem çok lazım olmuyor evde dursun aldım ece modunda birkaç kat geçmek gerekiyor buhar moduna aldığımda baya iyi philips kalitesi belli	1
24 saat içersinde teslim edildi diyebilirim hızlı kargo özenli paketleme ürün harika kalitede	1
hemen kargolandı kullanıp yorumumu güncelleyeceğim	0
başarılı güzel fiyata inanılmaz	1
tavsiye ederim güzel	1
hafif güzel zemin çok yumuşak kaygan	1
i̇lk calista'da garip calais'ti düzeldi sorun devam ederse servise	0
kalitesi tartışılmaz	0
ürün güzel kullanışlı	1
başarılı güzel fiyata inanılmaz	1
çok kullanışlı hafif su akıtmıyor çok memnun kaldım	1
hemen kargolandı kullanıp yorumumu güncelleyeceğim	0
bekar erkek işin fazlasıyla başarılı	1
çok memnunum	1
anneme almıştım memnun kaldı	1
süper hafif güzel utuluyor yormadan	1
fiyat performans başarılı ürün	1
hızlı teslimat herhangi sıkıntı yok teşekkürler	0
güzel ürün	1
uygun iyi aldı güzel	1
paketlemeyi beğenmedim ürün elime hasarsız ulaştı içine biraz su koydum denedim gayet güzeldi ütünün tabanı çokkk güzel ağır ütü tam göre ağır olması kötü bence ütü yaparken sürü ütü birikiyorsa bilekler yoruluyor süre çok güzel teşekkürler philips	1
fiyat performans ürünü sürekli ütü yapmayı sevmem ihtiyaç halinde iş görecektir philips kalitesi malum çok güzel paketlemesi iyiydi günde ulaştı teşekkürler	1
öncelikle kargo çok hızlı geldi sorun yoktu ütü fiyatına göre çok iyi kaliteli fiyata alınacak iyi ütü buhar özelliği gayet iyi su akıtmıyor ayrıca çok hafif tabanı kaliteli kesinlikle tavsiye ederim	1
kesinlikle çok güzel utuluyor kullanmaya basladim sıkıntı yaşamadım kirisiklari çok güzel açıyor ütülenecekleri biriktirip yapanlar biraz kol yorabilir utulerle kiyaslayjnca fiyatına göre çok çok iyi ütü	1
ütü kullandım farklı markalardan iyisi kesinlikle tam kere aldık anneler günü hediyesi olarak hepimiz memnuniyetle kullanıyoruz kumaşı tutmuyor kolunuzu yormadan ütüleme yapmanızı sağlıyor	1
öncelikle kargo çok hızlı geldi sorun yoktu ütü fiyatına göre çok iyi kaliteli fiyata alınacak iyi ütü buhar özelliği gayet iyi su akıtmıyor ayrıca çok hafif tabanı kaliteli kesinlikle tavsiye ederim	1
kere ütü yaptım plastik kokusu çıktı iş ilk kullanımla alakalıdır güzel zahmetsiz ütüledi	1
satıcıya teşekkürler hemen geldi günlük hafif ütü arıyorsanız tavsiye ediyorum memnun kaldım	1
çeyizime aldım denemek zorlu bu gömleğimi ütüledim güzeldi fiyat performans ürünü elime çok hızlı bu şekilde ulaştı	1
annem hafif bu ütü pratik kullanım kolaylığı sağlıyor buramaya satıcıya teşekkür ediyorum	0
çok beğendim tavsiye ederim	1
çeyizim aldım hoş duruyor :)	1
aşırı güzel hiçbir şekilde çizilme kusur yoktur paketleme gayet güzeldi satıcıya çok teşekkürlerimi sunuyorum ütü baya iyi tuşları çok güzel su akıtma yapmıyor derece ayarlama plazmasında çok güzel çok araştırdım ütü alırken marka alsam iyi olur tereddüt ederek aldım aldığıma verdiğim paraya değdi indirimden aldım çeyizime aldım herşeyini çok beğendim düşünmenize gerek yok philips diyorum başka demiyorum alın aldırın	1
