text	sentiment_category
çok güzel bayıldım	1
ürün çok ross dokusu yalnız urun orjinal değil cantanin içinde etiket yoikk	1
hızlı kargo orjinal urunu	1
beklediğim kalitede yazık paraya toz torbası koymamak bilemedim Hepsiburada ilgili olduğunu düşünmüyorum direk markanın ilgisizliği 10 bin verince koyuluyor anlamadım	1
yorumlarda öne çıkması 5 yıldız verdim çantada kullanım 1 ay olmadan resimde gördüğünüz şekilde lekelenme oluştu i̇ade talebim reddedildi almayı düşünen arkadaşlar düşünsün	1
çok çok güzel	1
harika	1
çok beğendim	1
çanta orijinal çok şık	1
üzerinde anlamadım yüzden iade etmeyi düşünüyorum	0
ürün kaliteli çizik vardı	1
saklama torbası yok	0
karton kutuya koyulmadan kargo yapılmış	1
alalı 5 ay olmuştur çanta soyulmaya başladı	0
harika tek kelime	1
çok teşekkür ederim çok güzel	1
sahte çanta geldi	0
çok kötü özensiz paket kesinlikle orijinal olamaz	0
çok güzel çok memnunum satıcının boyner olması çok iyi oldu	1
çok güzel bayıldım	1
ürün çok ross dokusu yalnız urun orjinal değil cantanin içinde etiket yoikk	1
hızlı kargo orjinal urunu	1
beklediğim kalitede yazık paraya toz torbası koymamak bilemedim Hepsiburada ilgili olduğunu düşünmüyorum direk markanın ilgisizliği 10 bin verince koyuluyor anlamadım	1
yorumlarda öne çıkması 5 yıldız verdim çantada kullanım 1 ay olmadan resimde gördüğünüz şekilde lekelenme oluştu i̇ade talebim reddedildi almayı düşünen arkadaşlar düşünsün	1
çok güzel bayıldım	1
ürün çok ross dokusu yalnız urun orjinal değil cantanin içinde etiket yoikk	1
hızlı kargo orjinal urunu	1
beklediğim kalitede yazık paraya toz torbası koymamak bilemedim Hepsiburada ilgili olduğunu düşünmüyorum direk markanın ilgisizliği 10 bin verince koyuluyor anlamadım	1
yorumlarda öne çıkması 5 yıldız verdim çantada kullanım 1 ay olmadan resimde gördüğünüz şekilde lekelenme oluştu i̇ade talebim reddedildi almayı düşünen arkadaşlar düşünsün	1
çok güzel bayıldım	1
ürün çok ross dokusu yalnız urun orjinal değil cantanin içinde etiket yoikk	1
hızlı kargo orjinal urunu	1
beklediğim kalitede yazık paraya toz torbası koymamak bilemedim Hepsiburada ilgili olduğunu düşünmüyorum direk markanın ilgisizliği 10 bin verince koyuluyor anlamadım	1
