text;sentiment
contigo der susarım 2 yıldır oğlum kreşe gidiyor türlü suluğu kullandım contigodan sağlam suluk görmedim büyüyünceye büyükler olan contigo alırım başka suluk alıp paranızı çöpe atmayın;-3.0
3 yaşındaki oğluma ay almıştık başka suluğu kullanmıyor üründen memnun kalınca ikinciyi almak sipariş verdik ürün elimize ulaştı aldığımız ürünü kullanmadık görsel olarak kalite olarak çok iyi görünüyor bayağı kalın havalı naylona sarmışlar ürün elimize sağlam ulaştı;10.0
gözüm kapalı aldığım marka ikinci kullanımımız sıfır koku kesınlıkle çok çok tavsiye;-2.0
1.5 yaşındaki oğlum 8 aylıktan itibaren pipetle sunulan kullanıyor küçük gelmeye başladı ürünü aldım çekim gücü kuvvetli sıçratma yaşamadık çok şükür akıtma koku yapmadı tek sorun anlamadığım hava kaçırma durumu yaşanıyor su geliyor hava sesi çıkıyor konuda yardımcı olabilirseniz çok sevinirim;0.0
markanın pipetli modelini pipetsiz modelini severek kullanıyoruz damlatma yapmıyor sağlam koku sorunu yok;1.0
çok beğendik ağızlığı silikon uzun süre kullanılabilir su akıtmıyor teşekkürler;5.0
harika bu ürün oğlumda bayıldı damlatma koku kesinlikle yapmıyor;2.0
ürün güzel küçük çocuklar çok iyi çekemez pipeti biraz genişçe su akıtmıyor yaşça bence 4 yaş üzeri çocuklar rahat eder;4.0
çok kaliteli ürün almıştım kaybettik aynısını aldım çok hızlı geldi okula yetişti;5.0
su kaciriyor maalesef koku yapmıyor;-1.0
contigo der susarım 2 yıldır oğlum kreşe gidiyor türlü suluğu kullandım contigodan sağlam suluk görmedim büyüyünceye büyükler olan contigo alırım başka suluk alıp paranızı çöpe atmayın;-3.0
3 yaşındaki oğluma ay almıştık başka suluğu kullanmıyor üründen memnun kalınca ikinciyi almak sipariş verdik ürün elimize ulaştı aldığımız ürünü kullanmadık görsel olarak kalite olarak çok iyi görünüyor bayağı kalın havalı naylona sarmışlar ürün elimize sağlam ulaştı;10.0
çok beğendik ağızlığı silikon uzun süre kullanılabilir su akıtmıyor teşekkürler;5.0
1.5 yaşındaki oğlum 8 aylıktan itibaren pipetle sunulan kullanıyor küçük gelmeye başladı ürünü aldım çekim gücü kuvvetli sıçratma yaşamadık çok şükür akıtma koku yapmadı tek sorun anlamadığım hava kaçırma durumu yaşanıyor su geliyor hava sesi çıkıyor konuda yardımcı olabilirseniz çok sevinirim;0.0
markanın pipetli modelini pipetsiz modelini severek kullanıyoruz damlatma yapmıyor sağlam koku sorunu yok;1.0
gözüm kapalı aldığım marka ikinci kullanımımız sıfır koku kesınlıkle çok çok tavsiye;-2.0
harika bu ürün oğlumda bayıldı damlatma koku kesinlikle yapmıyor;2.0
ürün güzel küçük çocuklar çok iyi çekemez pipeti biraz genişçe su akıtmıyor yaşça bence 4 yaş üzeri çocuklar rahat eder;4.0
harika suluk akıtma yapmıyor makinada rahatça yıkanıyor oğlum keyifle severek kullanıyor;1.0
contigo der susarım 2 yıldır oğlum kreşe gidiyor türlü suluğu kullandım contigodan sağlam suluk görmedim büyüyünceye büyükler olan contigo alırım başka suluk alıp paranızı çöpe atmayın;-3.0
3 yaşındaki oğluma ay almıştık başka suluğu kullanmıyor üründen memnun kalınca ikinciyi almak sipariş verdik ürün elimize ulaştı aldığımız ürünü kullanmadık görsel olarak kalite olarak çok iyi görünüyor bayağı kalın havalı naylona sarmışlar ürün elimize sağlam ulaştı;10.0
çok beğendik ağızlığı silikon uzun süre kullanılabilir su akıtmıyor teşekkürler;5.0
1.5 yaşındaki oğlum 8 aylıktan itibaren pipetle sunulan kullanıyor küçük gelmeye başladı ürünü aldım çekim gücü kuvvetli sıçratma yaşamadık çok şükür akıtma koku yapmadı tek sorun anlamadığım hava kaçırma durumu yaşanıyor su geliyor hava sesi çıkıyor konuda yardımcı olabilirseniz çok sevinirim;0.0
