product_id,comment_id,comment
1,0,gayet kullanışlı ve hesaplı
1,1,"Airfryeri aktif olarak kullanıyorsunuz düşünmeden sipariş etmenizi tavsiye
                ederim."
1,2,güzel
1,4,Fiyatı ve kalitesi güzel
1,5,Alta sızdırmıyor. Boyutu çok iyi.
1,6,xiaomi airfry için tam uyuyor temiz ve tertipli iş çıkarıyor
1,7,Kullanışlı
1,8,3-4-5 litrelerle uyumlu
1,9,kullandığım bir ürün
1,10,"Açıkçası uzun zamandır böyle bir ürün almak istiyordum çünkü Airfryer'in altını
                temizlemekle uğraşmak istemiyordum. Araştırırken bu ürüne denk geldim ve yorumlarada
                kanıp sipariş verdim. Bu ürünle birlikte ilk pişirmem üstüne köfteleri koyup oldu.
                Ancak pişirme sırasında gördüm ki kenarları Airfryer'ın yukardan sıcak hava vurması
                ile birlikte köftelerin üstüne katlanmış ve köfteler pişmiyordu. Oysa birde 5 tane
                köfte koymuştum sadece. Üründen hiç mi hiç memnun kalmadım. 2 paket aldım birde
                oysa, sürekli kullanırım diye. Ancak ürün belirttiği görevi yerine getiremiyor.
                Buraya yorum yazanlar neye göre yorum yazdı açıkçası anlayabilmiş değilim. Tüm
                samimiyetimle söylüyorum bu ürünü kesinlikle tavsiye etmiyorum."
1,11,"urun inanilmaz hayal kirikligi. ne kofte ne patates hersey mi yapisir. bir
                satici ve urunu icin kolay kolay olumsuz yazmam ama bu urun icin ozellikle yazmak
                istedim. cok satana aldanmayin."
1,12,"Bugüne dek amazondan alıp da kalitesiz çıkan bir ürün yoktu.Herseyin bir ilki
                varmış.Ürün berbat. Üzerinde ne pisirirseniz yapışıyor ve etiniz tavugunuz çöp
                oluyor."
1,13,Kullanışlı değil eğilip bükülüp yemek üstünü kapatıyor kullanışsız
1,14,"Ürün birbirine yapışmış halde geldi ve kenarında kesik var. Kağıt kalitesi ise
                çok kötü. Tavsiye etmiyorum."
1,15,"Bugün teslim aldım. Denedim. 195 santigrat ısıda kullandım. Kağıt hem küçüldü
                hemde bagetler kağıda yapıştı. Yapışıklığı ayırmak için uğraşınca yırtıldı."
1,16,"Ne pişirseniz pişirin yapışıyor, kesinlikle tavsiye etmem, slikon pişirme
                aparatı aldım bunun yerine işimi gördü, zincir marketlerde ki yağlı kağıtlar bundan
                daha iyi boş yere para vermeyin."
1,17,"Ürün benim açımdan hayal kırıklığı oldu. Et gibi marine ederek koyduğum
                besinler kağıda yapıştı."
1,18,Xxl ürün için küçük
1,19,"Airfry üzerinden yaptığım yiyeceklerin kağıda yapışması problemi var. Hiçbir
                bir çözüm bulamadık."
1,20,"Benzer özelliklere sahip düşük ya da yüksek fiyatla listelenen pek çok ürün
                içerisinde kesinlikle en başarılısı. Alt tarafı yağlı kağıt diyerek aldım diğer
                ürünlerde hem pişirdiğim ürünlerin yağı bütün hazneye dağıldı hem de ürünler
                pişmedi."
1,21,"Kullanım olarak kolay ve işlevsel, parasını hak ettiğini düşünüyorum."
1,22,İş görüyor
1,23,Çok pratik
1,24,Başarılı ve guzel
1,25,Xiaomi 3.5l tam oturdu
1,26,"pişirdiğiniz ürünleri daha sık karıştırmanız gerekiyor. evet, hazneyi çok temiz
                tutuyor ama ısı dolaşımını etkiliyor bence."
1,27,"Cosori marka Airfrey'de kullanmak için aldım çok iyi oldu. Altı pişmez
                zannettim hiç sıkıntı yokTeeşekkürler Amazon"
1,28,☺️👍
1,29,Annem için aldım memnun kaldı
1,30,"Ürün gayet kullanışlı ancak marketten alınan yağlı kağıtlar gibi yapıştırmama
                özelliği çok düşük. Neredeyse her ürünü bir yerinden yapıştırıyor. Ürün daha da
                geliştirilmeli."
1,31,"En buyuk boy airfryer icin almistim 6.3L olan icin ama kucuk kaldi 5.5L icin
                falan tam olur muhtmeelen"
1,32,"Daha temiz kullanım sağlıyor ancak ürünlerin kağıda değen kısmı üstü gibi
                kızarmıyor ya da pişmiyor. Sürekli çevirmek gerekli"
1,33,"Urun philips air frier xxl icin kucuk. Tabani kucuk kaliyor alirken dikkat
                etmek lazim. Belirtilmedigi icin almis bulundum. Urun isinizi gorebilir ama
                kesinlikle buyuk boy olani alin."
1,34,Ürün iyi ve kullanışlı
1,35,"Evet, ürün gerekeni yapıyor ama keşke 'kıvrımları' biraz daha uzun olsaydı.
                Soslu tavuk yaparken suyu aşağı aktı. Sulu yemekler haricinde ürün gerekeni yapıyor.
                Önemli Not: Gıdasız pişirme kağıdı koyup çalıştırmayın, kağıt içeride havalanarak
                ısı yayan bölgeye değip yanıyor."
1,36,"İnce olması güzel alttan hava almasını da sağlıyor. Ancak az ürün koyulursa
                kağıt büzüşüp kapanıyor."
1,37,"Yiyecekler havalı fritöze değmesin ve kirletmesin diye almıştım, ama bu sefer
                de sulu oluyor pişen ürünler. Ürünün kargosunda ve kendisinde herhangi bir sorun yok
                ama."
1,38,Kargo hızlıydı. Airfry kullananlar için gerekli alabilirsiniz.
1,39,"Cosori air fryer içine tam oturuyor. Aletin içerisinde kap gibi duracak bir şey
                arıyorsanız bir büyük boyuna bakın."
1,40,5.5 lt için ideal ebat fena sayılmaz
1,41,İş görüyor. Sadece pişirilen şeylere hafiften yapışıyor.
1,42,Ölçüsü tam değil küçük geldi biraz da ince
1,43,"Hava akışını engellediği için pişirmek istediğiniz yiyecekler tam olarak
                beklenen hale gelmiyor delikli olanları daha uygun olabilir istenilen pişirme
                kıvamını yakalamak için."
1,44,"Phillips XL Airfryer'ımda kullanmak için aldım ürünü. Ölçüleri uygun, ancak
                kağıdın kalınlığı, normal yağlı kağıttan daha ince. O nedenle et, patates vb.
                kızartmalarda kağıt yağlandığı an kendini salıyor. Bu nedenle kullanışlı bir ürün
                olduğunu söylemem zor."
1,45,Kullanışlı
1,46,Dümdüz geldi bir şekil veremedik
1,47,Cosori 5lt airfry güzel oldu.
1,48,Standart kalitede
1,49,İşe yarıyor
1,50,"Ürünün yan yüzeyleri uzun olmadığından içine koyduğunuz sulu yemek dışarı
                taşabiliyor. Onun dışında köfte vs benzeri şeyleri güzelce pişirebiliyorsunuz."
1,51,"Ürün hemen geldi. Paketleme, ürün durumu vs başarılı. Et ve köfte pişirirken
                yağ ilave etmezseniz kağıda yapşıyor ve kağıt çok ince olduğundan ete yapışıp
                kopuyor. etten ayırmak çok güç."
1,52,"Yanmaz olduğu doğru ancak maalesef yiyecekler yapışıyor ve kaldırması zaman
                alıyor."
1,53,"fiatı biraz uygun olsaydı ,ince tek kullanımlık"
1,54,"Fritözün /sıcak hava ile pişirme yaptığını dikkate alırsak, sıcak hava
                sirkülasyonunu azalttığı için, daha yavaş pişiriyor, haliyle süre uzuyor, pişirme
                kağıdının delikli bir modeline ihtiyaç ,var veya kullanıcı delikler açacak, fritözün
                daha uzun süre temiz kalması ve, gıdaları yağlamaya rağmen, bu sefer uzun pişirme
                süresi nedeniyle, hem daha fazla elk.enerjisi harcanıyor, hem de damlayan ve
                sıçrayan yaplar, buharlaşarak ve yanarak yan çeperlerde temizlenmesi için kimyasal
                temizleyici kullanılmasına neden oluyor .... Kağıtların hem hava sirkülasyonunu
                kolaylaştırmak, hemde elk.enerjisi tasarrufu için ya standart bir delik ölçüsüne
                göre delikli olması veya çatal, bıçak, şişlerle delik açılarak, kullanılması ....ile
                daha fazla verim ,ve pratik uygulama sağlanabilir...."
