word,simple_polarity
ayva reçeli,0.008000000000000007
gül reçeli,0.008000000000000007
incir reçeli,0.008000000000000007
iştah,0.008000000000000007
iştahlı,0.418
iştahsız,-0.412
iştahsızlık,-0.444
kayısı reçeli,0.008000000000000007
kayısı suyu,0.008000000000000007
kısayol,0.008000000000000007
mikrobiyolojik,0.008000000000000007
minibüs,0.008000000000000007
müsteşarlık,0.008000000000000007
nevresim,0.008000000000000007
neyzen,0.008000000000000007
ofsayt,-0.434
portakal reçeli,0.008000000000000007
postane,0.008000000000000007
postahane,0.008000000000000007
rekortmen,0.8200000000000001
repo,0.008000000000000007
sadrazam,0.428
vişne reçeli,0.008000000000000007
vişne suyu,0.008000000000000007
şeftali reçeli,0.008000000000000007
şeftali suyu,0.008000000000000007
amca,0.008000000000000007
kıyma,0.008000000000000007
boza,0.008000000000000007
dayı,0.008000000000000007
sipahi,0.008000000000000007
tımarlı sipahi,0.008000000000000007
yenge,0.008000000000000007
ferman,0.8200000000000001
tımar,0.8200000000000001
dolmuş,0.008000000000000007
elti,0.008000000000000007
siftah,0.8200000000000001
yer sofrası,0.418
arşın,0.008000000000000007
tanbur,0.008000000000000007
tambur,0.008000000000000007
beylik,0.438
minber,0.008000000000000007
ayran,0.8200000000000001
takunya,0.008000000000000007
nalın,0.008000000000000007
leblebi,0.008000000000000007
tellak,0.008000000000000007
simit,0.008000000000000007
ibrişim,0.008000000000000007
yenge,0.008000000000000007
içgüveysi,-0.432
iç güveysi,-0.432
içgüveyi,-0.432
iç güveyi,-0.432
aşure,0.008000000000000007
sac,0.008000000000000007
saç,0.008000000000000007
yenge,0.008000000000000007
kaymakam,0.8200000000000001
şerbet,0.008000000000000007
pide,0.008000000000000007
Ramazan pidesi,0.008000000000000007
beyaz peynir,0.008000000000000007
işkembe çorbası,0.008000000000000007
kaşar peyniri,0.008000000000000007
kaşar,0.008000000000000007
tahin helvası,0.008000000000000007
kahve,0.008000000000000007
kahvehane,0.008000000000000007
görümce,0.008000000000000007
cacık,0.008000000000000007
mezra,-0.412
türban,0.008000000000000007
kağıt helva,0.008000000000000007
kağıt helvası,0.008000000000000007
kavurma,0.008000000000000007
tarhana,0.008000000000000007
sucuk,0.008000000000000007
enişte,0.008000000000000007
bozacı,0.008000000000000007
il,0.008000000000000007
vilayet,0.008000000000000007
köşk,0.008000000000000007
konak,0.008000000000000007
bacanak,0.008000000000000007
kayınço,0.008000000000000007
kayınbirader,0.008000000000000007
kayın birader,0.008000000000000007
zurna,0.008000000000000007
baldız,0.008000000000000007
kadayıf,0.008000000000000007
darbuka,0.008000000000000007
kokoreç,0.008000000000000007
kasap havası,0.008000000000000007
düven,0.008000000000000007
döven,0.008000000000000007
acıbadem,0.008000000000000007
acıbadem kurabiyesi,0.008000000000000007
okka,0.008000000000000007
kıyye,0.008000000000000007
mescit,0.008000000000000007
beyaz leblebi,0.008000000000000007
tulum,0.008000000000000007
pekmez,0.008000000000000007
karışık pide,0.008000000000000007
keşkül,0.008000000000000007
lohusa,-0.454
loğusa,-0.454
rakı,0.008000000000000007
kemençe,0.008000000000000007
deniz otobüsü,0.008000000000000007
telkari,0.008000000000000007
simitçi,0.008000000000000007
tarhana çorbası,0.008000000000000007
gözleme,0.008000000000000007
Mevlevi,0.008000000000000007
kuşbaşılı pide,0.008000000000000007
tezhip,0.8200000000000001
sahlep,0.008000000000000007
salep,0.008000000000000007
tahin pekmez,0.008000000000000007
zeybek,0.008000000000000007
nazar boncuğu,0.008000000000000007
alaturka tuvalet,0.008000000000000007
hellim,0.008000000000000007
hellim peyniri,0.008000000000000007
kaşarlı pide,0.008000000000000007
çiftetelli,0.008000000000000007
Sisam,0.008000000000000007
Bozcaada,0.008000000000000007
ud,0.008000000000000007
ut,0.008000000000000007
Gökçeada,0.008000000000000007
ihram,0.008000000000000007
ney,0.008000000000000007
kavurmalı pide,0.008000000000000007
İstanköy,0.008000000000000007
Kos,0.008000000000000007
yazma,0.008000000000000007
üvendire,0.008000000000000007
sucuklu pide,0.008000000000000007
pestil,0.008000000000000007
vapur,0.008000000000000007
şehir hatları vapuru,0.008000000000000007
sucuk,0.008000000000000007
yazma,0.008000000000000007
bağlama,0.008000000000000007
mintan,0.008000000000000007
şehzade,0.8200000000000001
çiğ köfte,0.008000000000000007
çiğköfte,0.008000000000000007
imece,0.008000000000000007
amcaoğlu,0.008000000000000007
emmioğlu,0.008000000000000007
dayıoğlu,0.008000000000000007
türkü,0.008000000000000007
kirve,0.008000000000000007
yatsı ezanı,0.008000000000000007
minibüs,0.008000000000000007
dolmuş,0.008000000000000007
Nurcu,0.008000000000000007
gül şerbeti,0.008000000000000007
imam nikahı,0.008000000000000007
Nakşibendilik,0.008000000000000007
cuma namazı,0.438
lahmacun,0.008000000000000007
muvakkit,0.008000000000000007
tarikat,0.8200000000000001
kabul günü,0.008000000000000007
çatal,0.008000000000000007
pekmezi,0.008000000000000007
su böreği,0.008000000000000007
suböreği,0.008000000000000007
abdest,0.8200000000000001
aptes,0.8200000000000001
peynirli pide,0.008000000000000007
üzüm pekmezi,0.008000000000000007
külliye,0.008000000000000007
kispet,0.008000000000000007
şekerpare,0.008000000000000007
Kemalizm,0.008000000000000007
Atatürkçülük,0.008000000000000007
alinazik,0.008000000000000007
sahur,0.008000000000000007
sahur vakti,0.008000000000000007
Danıştay,0.008000000000000007
meyan şerbeti,0.008000000000000007
teyze,0.008000000000000007
dil peyniri,0.008000000000000007
cariye,-0.414
elma pekmezi,0.008000000000000007
mantı,0.008000000000000007
kayınço,0.008000000000000007
kayınbirader,0.008000000000000007
kayın birader,0.008000000000000007
pide,0.008000000000000007
anneanne,0.008000000000000007
ezan,0.008000000000000007
nar pekmezi,0.008000000000000007
un helvası,0.008000000000000007
beyti,0.008000000000000007
beyti kebap,0.008000000000000007
sarma beyti,0.008000000000000007
aktar,0.008000000000000007
attar,0.008000000000000007
Sayıştay,0.008000000000000007
MGK,0.008000000000000007
Milli Güvenlik Kurulu,0.008000000000000007
Nakşibendi,0.008000000000000007
iade-i ziyaret,0.008000000000000007
peşrev,0.008000000000000007
gönül,0.8200000000000001
peribacası,0.008000000000000007
peri bacası,0.008000000000000007
Kemalist,-0.095
Atatürkçü,-0.095
ikindi namazı,0.008000000000000007
Hicri Yılbaşı,0.008000000000000007
Müslümanlıkta dini gün,0.008000000000000007
hutbe,0.008000000000000007
vaaz,0.008000000000000007
öğle ezanı,0.008000000000000007
Umre,0.008000000000000007
alafranga tuvalet,0.008000000000000007
Kadir Gecesi,0.008000000000000007
haram,-0.432
müzehhip,0.8200000000000001
tezhipçi,0.8200000000000001
enişte,0.008000000000000007
kandil,0.8200000000000001
DGM,0.008000000000000007
Devlet Güvenlik Mahkemesi,0.008000000000000007
vergi levhası,0.008000000000000007
Van kedisi,0.008000000000000007
şeyhülislam,0.008000000000000007
keçiboynuzu pekmezi,0.008000000000000007
harnup pekmezi,0.008000000000000007
hala,0.008000000000000007
kızılcık şerbeti,0.008000000000000007
misvak,0.008000000000000007
Bektaşilik,-0.503
ramazan topu,0.008000000000000007
ilçe,0.008000000000000007
ayet,0.008000000000000007
çeşmibülbül,0.008000000000000007
çeşm-i bülbül,0.008000000000000007
sabah namazı,0.008000000000000007
ortaoyunu,0.008000000000000007
orta oyunu,0.008000000000000007
kuzin,0.008000000000000007
kuruş,0.008000000000000007
Bektaşi,0.008000000000000007
fizibilite çalışması,0.008000000000000007
rekat,0.008000000000000007
has,0.008000000000000007
dergah,0.008000000000000007
tekke,0.008000000000000007
zaviye,0.008000000000000007
çapari,0.008000000000000007
pastırmalı pide,0.008000000000000007
lohusa şerbeti,0.008000000000000007
iftar,0.008000000000000007
iftar saati,0.008000000000000007
iftar vakti,0.008000000000000007
dünür,0.008000000000000007
fitre,0.0
taksim,0.008000000000000007
Mevlevilik,0.008000000000000007
iftar etmek,0.008000000000000007
oruç açmak,0.008000000000000007
akşam namazı,0.008000000000000007
sahura kalkmak,0.008000000000000007
mahrem,0.008000000000000007
Berat Kandili,0.008000000000000007
cemevi,0.008000000000000007
cem evi,0.008000000000000007
kelaynak,0.008000000000000007
dirhem,0.008000000000000007
rahle,0.008000000000000007
kurna,0.008000000000000007
ebru,0.008000000000000007
Mevlevi ayini,0.008000000000000007
aşiret,-0.068
fırdöndü,0.008000000000000007
sikke,0.008000000000000007
hadis,0.008000000000000007
çerkez tavuğu,0.008000000000000007
imza sirküleri,0.008000000000000007
imza sirküsü,0.008000000000000007
oruç yemek,-0.422
haydari,0.008000000000000007
ikindi ezanı,0.008000000000000007
ezogelin çorbası,0.008000000000000007
ezogelin,0.008000000000000007
türbe,0.008000000000000007
uzun hava,0.008000000000000007
kıymalı pide,0.008000000000000007
selamlık,0.008000000000000007
lonca,0.008000000000000007
Alevilik,0.008000000000000007
dut pekmezi,0.008000000000000007
yayla çorbası,0.008000000000000007
Mevlit Kandili,0.008000000000000007
gerdeğe girmek,0.8200000000000001
taharet musluğu,0.008000000000000007
sevap,0.428
TBMM,0.008000000000000007
Türkiye Büyük Millet Meclisi,0.008000000000000007
tefsir,0.008000000000000007
musalla taşı,0.008000000000000007
mevlit,0.8200000000000001
mevlid,0.8200000000000001
lohusa şekeri,0.008000000000000007
pehlivan,0.362
nazar değmek,-0.434
nazara gelmek,-0.434
göze gelmek,-0.434
gerdek,0.8200000000000001
zoka,0.008000000000000007
Regaip Kandili,0.008000000000000007
Regaib Kandili,0.008000000000000007
kına gecesi,0.428
namahrem,-0.444
dünür,0.008000000000000007
kaymakamlık,0.008000000000000007
bayram namazı,0.8200000000000001
oya,0.008000000000000007
öğle namazı,0.8200000000000001
taharetlenmek,0.8200000000000001
cenaze namazı,0.8200000000000001
meddah,0.438
Alevi,0.8200000000000001
mesir macunu,0.008000000000000007
armut pekmezi,0.008000000000000007
mahya,0.438
iftar yemeği,0.8200000000000001
iftar,0.8200000000000001
Halveti,0.8200000000000001
mehter takımı,0.008000000000000007
mehterhane,0.008000000000000007
Sırat Köprüsü,0.8200000000000001
şalgam,0.008000000000000007
sıpa,0.008000000000000007
sabah ezanı,0.8200000000000001
