product_id	comment_id	comment	sentiment	sentiment_category
1	0	gayet kullanışlı hesaplı 	0.434232528	1
1	1	airfryeri aktif olarak kullanıyorsunuz düşünmeden sipariş etmenizi tavsiye ederim 	0.528399395	1
1	2	güzel 	0.292038405	1
1	4	fiyatı kalitesi güzel 	0.292038405	1
1	5	alta sızdırmıyor boyutu çok iyi 	0.332804467	1
1	6	xiaomi airfry tam uyuyor temiz tertipli iş çıkarıyor 	0.303172987	1
1	7	kullanışlı 	0.199546262	1
1	8	345 litrelerle uyumlu 	0.265661857	1
1	9	kullandığım ürün 	0.09397774	1
1	11	urun inanılmaz hayal kirikliği köfte patates herşey mi yapisir sahici urunu için kolay kolay olumsuz yazmam urun için özellikle yazmak istedim çok satana aldanmayın 	0.388794384	1
1	12	bugüne dek amazondan alıp kalitesiz çıkan ürün yoktuherseyin ilki varmışürün berbat üzerinde pişirirseniz yapışıyor etiniz tavusunuz çöp oluyor 	-0.7330483139999999	0
1	13	kullanışlı değil eğilip bükülüp yemek üstünü kapatıyor kullanışsız 	-0.312268203	0
1	14	ürün birbirine yapışmış halde geldi kenarında kesik kağıt kalitesi çok kötü tavsiye etmiyorum 	-0.256793183	0
1	15	bugün teslim aldım denedim 195 santigrat ısıda kullandım kağıt küçüldü yemde bagetler kağıda yapıştı yapışıklığı ayırmak uğraşınca yırtıldı 	0.26334892	1
1	16	pişirseniz pişirin yapışıyor kesinlikle tavsiye etmem silikon pişirme aparatı aldım işimi gördü zincir marketlerde yağlı kağıtlar iyi boş yere para vermeyin 	-0.4565170859999999	0
1	17	ürün açımdan hayal kırıklığı oldu et marine ederek koyduğum besinler kağıda yapıştı 	0.123686464	1
1	18	xx ürün küçük 	-0.036083215	0
1	19	airfry üzerinden yaptığım yiyeceklerin kağıda yapışması problemi hiçbir çözüm bulamadık 	-0.3552517109999999	0
1	20	benzer özelliklere sahip düşük yüksek fiyatla listelenen pek çok ürün içerisinde kesinlikle en başarılısı alt tarafı yağlı kağıt diyerek aldım ürünlerde pişirdiğim ürünlerin yağı hazneye dağıldı ürünler pişmedi 	0.091732579	1
1	21	kullanım olarak kolay işlevsel parasını hak ettiğini düşünüyorum 	1.310483981	1
1	22	i̇ş görüyor 	0.0	0
1	23	çok pratik 	0.016147297	1
1	24	başarılı güzel 	0.446749171	1
1	25	xiaomi 35l tam oturdu 	0.148966115	1
1	26	pişirdiğiniz ürünleri sık karıştırmanız gerekiyor evet hazneyi çok temiz tutuyor ısı dolaşımını etkiliyor bence 	0.323438079	1
1	27	cosori marka airfreyde kullanmak aldım çok iyi oldu altı pişmez zannettim sıkıntı yokteeşekkürler amazon 	0.131112035	1
1	28	 ☺ 👍	0.0	0
1	29	annem aldım memnun kaldı 	0.136693004	1
1	30	ürün gayet kullanışlı marketten alınan yağlı kağıtlar yapıştırmama özelliği çok düşük neredeyse ürünü yerinden yapıştırıyor ürün geliştirilmeli 	0.7355487780000001	1
1	31	en buçuk boy airfryer için alois'tim 63l olan için kucak kaldı 55l için tam olur muhtemelen 	0.310540626	1
1	32	temiz kullanım sağlıyor ürünlerin kağıda değen kısmı üstü kızarmıyor pişmiyor sürekli çevirmek gerekli 	1.106263423	1
1	33	urun philip bir fryer xx için kucak taban kucak kalıyor alırken dikkat etmek lazım belirtilmediği için almus bulundum urun isinizi girebilir kesinlikle buçuk boy olan alin 	0.932101582	1
1	34	ürün iyi kullanışlı 	0.619016035	1
1	35	evet ürün gerekeni yapıyor keşke kıvrımları biraz uzun olsaydı soslu tavuk yaparken suyu aşağı aktı sulu yemekler haricinde ürün gerekeni yapıyor önemli not gıdasız pişirme kağıdı koyup çalıştırmayın kağıt içeride havalanarak ısı yayan bölgeye değip yanıyor 	0.6752642640000001	1
1	36	i̇nce olması güzel alttan hava almasını sağlıyor az ürün koyulursa kağıt büzüşüp kapanıyor 	0.251241435	1
1	37	yiyecekler havalı fritöze değmesin kirletmesin almıştım sefer sulu oluyor pişen ürünler ürünün kargosunda kendisinde herhangi sorun yok 	-0.057699981	0
1	38	kargo hızlıydı airfry kullananlar gerekli alabilirsiniz 	0.224918165	1
1	39	cosori bir fryer içine tam oturuyor aletin içerisinde kap duracak arıyorsanız büyük boyuna bakın 	0.525383831	1
1	40	55 lt ideal ebat fena sayılmaz 	-0.0909530959999999	0
1	41	i̇ş görüyor sadece pişirilen şeylere hafiften yapışıyor 	-0.068687558	0
1	42	ölçüsü tam değil küçük geldi biraz ince 	-0.019724263	0
1	43	hava akışını engellediği pişirmek istediğiniz yiyecekler tam olarak beklenen hale gelmiyor delikli olanları uygun olabilir istenilen pişirme kıvamını yakalamak 	0.043047271	1
1	44	phillips airfryerımda kullanmak aldım ürünü ölçüleri uygun kağıdın kalınlığı normal yağlı kağıttan ince nedenle et patates ve kızartmalarda kağıt yağlandığı an salıyor nedenle kullanışlı ürün olduğunu söylemem zor 	0.6115864120000001	1
1	45	kullanışlı 	0.199546262	1
1	46	dümdüz geldi şekil veremedik 	-0.068083159	0
1	47	cosori alt airfry güzel oldu 	0.25861902	1
1	48	standart kalitede 	0.081667439	1
1	49	i̇şe yarıyor 	0.0	0
1	50	ürünün yan yüzeyleri uzun olmadığından içine koyduğunuz sulu yemek dışarı taşabiliyor dışında köfte vs benzeri şeyleri güzelce pişirebiliyorsunuz 	0.945851983	1
1	51	ürün hemen geldi paketleme ürün durumu vs başarılı et köfte pişirirken yağ ilave etmezseniz kağıda yapıyor kağıt çok ince olduğundan ete yapışıp kopuyor etten ayırmak çok güç 	0.815119751	1
1	52	yanmaz olduğu doğru maalesef yiyecekler yapışıyor kaldırması zaman alıyor 	-0.478420444	0
1	53	fiyatı biraz uygun olsaydı ince tek kullanımlık 	0.433852416	1
1	55	pişirme kalıbıyla yaşadığım deneyimde maalesef pişirme kağıdının kalitesi tatmin etmedi kağıt kullanım sırasında hafifçe yırtılabiliyor yapışmaya karşı tam direnç göstermiyor fiyatına göre işlevsel puanım 35 pişirme kağıdı konusunda iyi performans beklerdim 	0.796872182	1
1	56	airfryer çalışmaya başlayınca sağa sola gidiyor içine kapanıyor 	-0.217572561	0
1	57	yüksek yıldızlı ürün olduğu tercih ettim beklentimi karşılamadı 	1.044662725	1
1	58	ürün güzel airfryer kullanılması airfryer geliştiricileri tarafından tavsiye edilmiyor cihazın dolaşan havayı engelliyor 	-0.1028625379999999	0
1	59	kaliteli diyebilirim 34 lt net uygun olabilir xl büyükler uygun değil 	0.762400101	1
1	60	çok ince 	0.222207374	1
1	61	orunun boyutu çok küçük 	-0.122748521	0
